County,State,State_FIPS,County_FIPS,high_school_and_above_percentage
Graham County,Arizona,04,009,14.4
Greenlee County,Arizona,04,011,12.7
Maricopa County,Arizona,04,013,30.7
Mohave County,Arizona,04,015,12.8
Navajo County,Arizona,04,017,14.2
Pima County,Arizona,04,019,30.9
Pinal County,Arizona,04,021,17.1
Santa Cruz County,Arizona,04,023,20.6
Yavapai County,Arizona,04,025,25.1
La Paz County,Arizona,04,012,10.0
Yuma County,Arizona,04,027,13.8
Arkansas County,Arkansas,05,001,14.7
Ashley County,Arkansas,05,003,12.6
Baxter County,Arkansas,05,005,17.3
Benton County,Arkansas,05,007,27.7
Boone County,Arkansas,05,009,14.6
Bradley County,Arkansas,05,011,10.8
Calhoun County,Arkansas,05,013,5.9
Carroll County,Arkansas,05,015,18.5
Chicot County,Arkansas,05,017,10.5
Clark County,Arkansas,05,019,20.1
Clay County,Arkansas,05,021,7.2
Cleburne County,Arkansas,05,023,14.3
Cleveland County,Arkansas,05,025,14.1
Columbia County,Arkansas,05,027,22.1
Conway County,Arkansas,05,029,11.4
Craighead County,Arkansas,05,031,22.1
Crawford County,Arkansas,05,033,13.4
Crittenden County,Arkansas,05,035,14.3
Cross County,Arkansas,05,037,10.6
Dallas County,Arkansas,05,039,10.9
Desha County,Arkansas,05,041,13.4
Drew County,Arkansas,05,043,19.0
Faulkner County,Arkansas,05,045,25.8
Franklin County,Arkansas,05,047,11.4
Fulton County,Arkansas,05,049,12.1
Garland County,Arkansas,05,051,22.7
Grant County,Arkansas,05,053,14.2
Greene County,Arkansas,05,055,11.7
Hempstead County,Arkansas,05,057,15.0
Hot Spring County,Arkansas,05,059,9.7
Howard County,Arkansas,05,061,13.8
Independence County,Arkansas,05,063,13.4
Izard County,Arkansas,05,065,12.2
Jackson County,Arkansas,05,067,6.4
Jefferson County,Arkansas,05,069,14.8
Johnson County,Arkansas,05,071,14.3
Lafayette County,Arkansas,05,073,11.3
Lawrence County,Arkansas,05,075,7.9
Lee County,Arkansas,05,077,7.5
Lincoln County,Arkansas,05,079,6.5
Little River County,Arkansas,05,081,10.2
Logan County,Arkansas,05,083,10.8
Lonoke County,Arkansas,05,085,16.8
Madison County,Arkansas,05,087,14.0
Marion County,Arkansas,05,089,14.6
Miller County,Arkansas,05,091,12.5
Mississippi County,Arkansas,05,093,10.6
Monroe County,Arkansas,05,095,10.2
Montgomery County,Arkansas,05,097,11.0
Nevada County,Arkansas,05,099,8.4
Newton County,Arkansas,05,101,11.5
Ouachita County,Arkansas,05,103,13.5
Perry County,Arkansas,05,105,11.9
Phillips County,Arkansas,05,107,11.0
Pike County,Arkansas,05,109,8.8
Poinsett County,Arkansas,05,111,8.2
Polk County,Arkansas,05,113,10.4
Pope County,Arkansas,05,115,20.6
Prairie County,Arkansas,05,117,11.2
Pulaski County,Arkansas,05,119,32.0
Randolph County,Arkansas,05,121,9.3
Saint Francis County,Arkansas,05,123,8.6
Saline County,Arkansas,05,125,22.8
Scott County,Arkansas,05,127,8.8
Searcy County,Arkansas,05,129,7.7
Sebastian County,Arkansas,05,131,19.5
Sevier County,Arkansas,05,133,8.0
Sharp County,Arkansas,05,135,13.4
Stone County,Arkansas,05,137,8.3
Union County,Arkansas,05,139,17.0
Van Buren County,Arkansas,05,141,15.3
Washington County,Arkansas,05,143,28.0
White County,Arkansas,05,145,17.1
Woodruff County,Arkansas,05,147,8.0
Yell County,Arkansas,05,149,10.4
Alameda County,California,06,001,40.5
Alpine County,California,06,003,27.8
Amador County,California,06,005,18.6
Butte County,California,06,007,24.4
Calaveras County,California,06,009,19.1
Colusa County,California,06,011,13.3
Contra Costa County,California,06,013,39.8
Del Norte County,California,06,015,12.2
El Dorado County,California,06,017,32.8
Fresno County,California,06,019,19.7
Glenn County,California,06,021,14.9
Humboldt County,California,06,023,26.0
Imperial County,California,06,025,11.9
Inyo County,California,06,027,21.4
Kern County,California,06,029,14.3
Kings County,California,06,031,10.5
Lake County,California,06,033,17.1
Lassen County,California,06,035,10.2
Los Angeles County,California,06,037,29.9
Madera County,California,06,039,14.4
Marin County,California,06,041,53.1
Mariposa County,California,06,043,17.8
Mendocino County,California,06,045,22.2
Merced County,California,06,047,12.3
Modoc County,California,06,049,13.5
Mono County,California,06,051,28.3
Monterey County,California,06,053,22.7
Napa County,California,06,055,30.0
Nevada County,California,06,057,34.1
Orange County,California,06,059,38.4
Placer County,California,06,061,37.5
Plumas County,California,06,063,18.9
Riverside County,California,06,065,21.8
Sacramento County,California,06,067,28.4
San Benito County,California,06,069,17.4
San Bernardino County,California,06,071,18.3
San Diego County,California,06,073,35.2
San Francisco County,California,06,075,51.8
San Joaquin County,California,06,077,17.1
San Luis Obispo County,California,06,079,30.5
San Mateo County,California,06,081,44.4
Santa Barbara County,California,06,083,31.8
Santa Clara County,California,06,085,47.6
Santa Cruz County,California,06,087,37.3
Shasta County,California,06,089,21.1
Sierra County,California,06,091,15.9
Siskiyou County,California,06,093,23.5
Solano County,California,06,095,23.1
Sonoma County,California,06,097,31.4
Stanislaus County,California,06,099,16.4
Sutter County,California,06,101,18.7
Tehama County,California,06,103,12.8
Trinity County,California,06,105,22.0
Tulare County,California,06,107,12.8
Tuolumne County,California,06,109,17.4
Ventura County,California,06,111,32.6
Yolo County,California,06,113,38.3
Yuba County,California,06,115,12.5
Alamosa County,Colorado,08,003,22.9
Archuleta County,Colorado,08,007,38.6
Baca County,Colorado,08,009,21.3
Bent County,Colorado,08,011,12.9
Chaffee County,Colorado,08,015,31.7
Cheyenne County,Colorado,08,017,20.9
Clear Creek County,Colorado,08,019,42.3
Conejos County,Colorado,08,021,19.2
Costilla County,Colorado,08,023,14.0
Crowley County,Colorado,08,025,11.5
Custer County,Colorado,08,027,29.4
Delta County,Colorado,08,029,17.3
Dolores County,Colorado,08,033,10.9
Douglas County,Colorado,08,035,59.0
Eagle County,Colorado,08,037,42.1
Elbert County,Colorado,08,039,29.6
El Paso County,Colorado,08,041,36.9
Fremont County,Colorado,08,043,14.7
Garfield County,Colorado,08,045,22.1
Gilpin County,Colorado,08,047,33.6
Grand County,Colorado,08,049,25.4
Gunnison County,Colorado,08,051,45.0
Huerfano County,Colorado,08,055,23.8
Jackson County,Colorado,08,057,25.0
Kiowa County,Colorado,08,061,20.0
Kit Carson County,Colorado,08,063,16.4
Lake County,Colorado,08,065,20.2
La Plata County,Colorado,08,067,40.6
Larimer County,Colorado,08,069,43.2
Las Animas County,Colorado,08,071,18.5
Lincoln County,Colorado,08,073,13.2
Logan County,Colorado,08,075,16.2
Mesa County,Colorado,08,077,25.1
Moffat County,Colorado,08,081,15.3
Montezuma County,Colorado,08,083,27.6
Montrose County,Colorado,08,085,24.9
Morgan County,Colorado,08,087,13.7
Otero County,Colorado,08,089,14.2
Ouray County,Colorado,08,091,39.4
Park County,Colorado,08,093,30.3
Phillips County,Colorado,08,095,18.0
Pitkin County,Colorado,08,097,61.4
Prowers County,Colorado,08,099,18.2
Pueblo County,Colorado,08,101,20.8
Rio Blanco County,Colorado,08,103,20.0
Rio Grande County,Colorado,08,105,16.3
Routt County,Colorado,08,107,43.3
Saguache County,Colorado,08,109,22.0
San Miguel County,Colorado,08,113,50.5
Sedgwick County,Colorado,08,115,14.3
Summit County,Colorado,08,117,46.0
Teller County,Colorado,08,119,32.7
Washington County,Colorado,08,121,16.4
Yuma County,Colorado,08,125,16.7
Adams County,Colorado,08,001,20.3
Arapahoe County,Colorado,08,005,39.8
Boulder County,Colorado,08,013,58.9
Broomfield County,Colorado,08,014,49.0
Denver County,Colorado,08,031,40.1
Jefferson County,Colorado,08,059,40.9
Weld County,Colorado,08,123,24.3
Fairfield County,Connecticut,09,001,45.8
Hartford County,Connecticut,09,003,34.3
Litchfield County,Connecticut,09,005,32.4
Middlesex County,Connecticut,09,007,37.4
New Haven County,Connecticut,09,009,32.9
New London County,Connecticut,09,011,31.5
Tolland County,Connecticut,09,013,37.3
Windham County,Connecticut,09,015,20.0
Kent County,Delaware,10,001,20.8
New Castle County,Delaware,10,003,32.9
Sussex County,Delaware,10,005,21.9
Alachua County,Florida,12,001,42.9
Baker County,Florida,12,003,5.0
Bay County,Florida,12,005,21.4
Bradford County,Florida,12,007,8.0
Brevard County,Florida,12,009,29.2
Broward County,Florida,12,011,31.4
Calhoun County,Florida,12,013,10.5
Charlotte County,Florida,12,015,23.0
Citrus County,Florida,12,017,19.0
Clay County,Florida,12,019,25.0
Collier County,Florida,12,021,34.2
Columbia County,Florida,12,023,14.6
Miami-Dade County,Florida,12,086,26.8
DeSoto County,Florida,12,027,11.7
Dixie County,Florida,12,029,6.5
Duval County,Florida,12,031,25.3
Escambia County,Florida,12,033,25.0
Flagler County,Florida,12,035,24.3
Franklin County,Florida,12,037,15.7
Gadsden County,Florida,12,039,12.8
Gilchrist County,Florida,12,041,10.2
Glades County,Florida,12,043,10.4
Gulf County,Florida,12,045,11.3
Hamilton County,Florida,12,047,5.0
Hardee County,Florida,12,049,6.0
Hendry County,Florida,12,051,6.4
Hernando County,Florida,12,053,17.7
Highlands County,Florida,12,055,15.4
Hillsborough County,Florida,12,057,30.2
Holmes County,Florida,12,059,8.9
Indian River County,Florida,12,061,29.5
Jackson County,Florida,12,063,12.0
Jefferson County,Florida,12,065,14.5
Lafayette County,Florida,12,067,7.2
Lake County,Florida,12,069,22.0
Lee County,Florida,12,071,26.3
Leon County,Florida,12,073,42.8
Levy County,Florida,12,075,13.4
Liberty County,Florida,12,077,15.3
Madison County,Florida,12,079,7.8
Manatee County,Florida,12,081,27.7
Marion County,Florida,12,083,18.2
Martin County,Florida,12,085,32.0
Monroe County,Florida,12,087,29.9
Nassau County,Florida,12,089,22.5
Okaloosa County,Florida,12,091,29.5
Okeechobee County,Florida,12,093,10.8
Orange County,Florida,12,095,31.0
Osceola County,Florida,12,097,18.2
Palm Beach County,Florida,12,099,34.6
Pasco County,Florida,12,101,20.5
Pinellas County,Florida,12,103,29.1
Polk County,Florida,12,105,18.5
Putnam County,Florida,12,107,12.5
Saint Johns County,Florida,12,109,41.6
Saint Lucie County,Florida,12,111,18.2
Santa Rosa County,Florida,12,113,25.6
Sarasota County,Florida,12,115,32.4
Seminole County,Florida,12,117,35.8
Sumter County,Florida,12,119,21.2
Suwannee County,Florida,12,121,9.6
Taylor County,Florida,12,123,12.5
Union County,Florida,12,125,7.4
Volusia County,Florida,12,127,22.3
Wakulla County,Florida,12,129,15.6
Walton County,Florida,12,131,25.1
Washington County,Florida,12,133,11.9
Appling County,Georgia,13,001,9.5
Atkinson County,Georgia,13,003,5.3
Bacon County,Georgia,13,005,6.6
Baker County,Georgia,13,007,7.6
Baldwin County,Georgia,13,009,15.6
Banks County,Georgia,13,011,11.6
Barrow County,Georgia,13,013,14.1
Bartow County,Georgia,13,015,16.5
Ben Hill County,Georgia,13,017,11.9
Berrien County,Georgia,13,019,10.6
Bibb County,Georgia,13,021,23.6
Bleckley County,Georgia,13,023,10.8
Brantley County,Georgia,13,025,3.7
Brooks County,Georgia,13,027,15.2
Bryan County,Georgia,13,029,29.6
Bulloch County,Georgia,13,031,25.0
Burke County,Georgia,13,033,8.3
Butts County,Georgia,13,035,6.4
Calhoun County,Georgia,13,037,8.2
Camden County,Georgia,13,039,19.2
Candler County,Georgia,13,043,17.3
Carroll County,Georgia,13,045,18.0
Catoosa County,Georgia,13,047,18.7
Charlton County,Georgia,13,049,6.6
Chatham County,Georgia,13,051,29.6
Chattahoochee County,Georgia,13,053,37.0
Chattooga County,Georgia,13,055,6.4
Cherokee County,Georgia,13,057,34.4
Clarke County,Georgia,13,059,43.6
Clay County,Georgia,13,061,7.1
Clayton County,Georgia,13,063,15.8
Clinch County,Georgia,13,065,14.0
Cobb County,Georgia,13,067,45.7
Coffee County,Georgia,13,069,11.5
Colquitt County,Georgia,13,071,10.2
Columbia County,Georgia,13,073,35.5
Cook County,Georgia,13,075,11.3
Coweta County,Georgia,13,077,27.5
Crawford County,Georgia,13,079,11.6
Crisp County,Georgia,13,081,10.2
Dade County,Georgia,13,083,15.5
Dawson County,Georgia,13,085,17.3
Decatur County,Georgia,13,087,12.2
DeKalb County,Georgia,13,089,38.7
Dodge County,Georgia,13,091,12.1
Dooly County,Georgia,13,093,9.4
Dougherty County,Georgia,13,095,18.2
Douglas County,Georgia,13,097,22.1
Early County,Georgia,13,099,11.2
Echols County,Georgia,13,101,2.5
Effingham County,Georgia,13,103,13.5
Elbert County,Georgia,13,105,11.0
Emanuel County,Georgia,13,107,9.6
Evans County,Georgia,13,109,12.1
Fannin County,Georgia,13,111,16.5
Fayette County,Georgia,13,113,44.5
Floyd County,Georgia,13,115,16.7
Forsyth County,Georgia,13,117,46.7
Franklin County,Georgia,13,119,11.5
Fulton County,Georgia,13,121,50.0
Gilmer County,Georgia,13,123,13.8
Glascock County,Georgia,13,125,7.9
Glynn County,Georgia,13,127,27.3
Gordon County,Georgia,13,129,12.6
Grady County,Georgia,13,131,7.4
Greene County,Georgia,13,133,20.5
Gwinnett County,Georgia,13,135,35.8
Habersham County,Georgia,13,137,18.6
Hall County,Georgia,13,139,20.6
Hancock County,Georgia,13,141,7.8
Haralson County,Georgia,13,143,10.1
Harris County,Georgia,13,145,27.8
Hart County,Georgia,13,147,17.1
Heard County,Georgia,13,149,6.9
Henry County,Georgia,13,151,23.9
Houston County,Georgia,13,153,26.1
Irwin County,Georgia,13,155,8.3
Jackson County,Georgia,13,157,16.2
Jasper County,Georgia,13,159,12.9
Jeff Davis County,Georgia,13,161,9.5
Jefferson County,Georgia,13,163,8.4
Jenkins County,Georgia,13,165,8.2
Johnson County,Georgia,13,167,7.3
Jones County,Georgia,13,169,16.0
Lamar County,Georgia,13,171,7.7
Lanier County,Georgia,13,173,11.7
Laurens County,Georgia,13,175,14.6
Lee County,Georgia,13,177,19.0
Liberty County,Georgia,13,179,13.9
Lincoln County,Georgia,13,181,10.6
Long County,Georgia,13,183,5.9
Lowndes County,Georgia,13,185,21.8
Lumpkin County,Georgia,13,187,19.2
McDuffie County,Georgia,13,189,10.3
McIntosh County,Georgia,13,191,15.3
Macon County,Georgia,13,193,8.0
Madison County,Georgia,13,195,13.3
Marion County,Georgia,13,197,6.0
Meriwether County,Georgia,13,199,8.4
Miller County,Georgia,13,201,9.4
Mitchell County,Georgia,13,205,9.2
Monroe County,Georgia,13,207,16.2
Montgomery County,Georgia,13,209,14.3
Morgan County,Georgia,13,211,25.0
Murray County,Georgia,13,213,6.6
Muscogee County,Georgia,13,215,22.3
Newton County,Georgia,13,217,17.3
Oconee County,Georgia,13,219,47.8
Oglethorpe County,Georgia,13,221,12.8
Paulding County,Georgia,13,223,19.0
Peach County,Georgia,13,225,17.7
Pickens County,Georgia,13,227,24.2
Pierce County,Georgia,13,229,9.7
Pike County,Georgia,13,231,15.3
Polk County,Georgia,13,233,10.5
Pulaski County,Georgia,13,235,5.3
Putnam County,Georgia,13,237,17.4
Quitman County,Georgia,13,239,8.5
Rabun County,Georgia,13,241,27.7
Randolph County,Georgia,13,243,12.3
Richmond County,Georgia,13,245,20.2
Rockdale County,Georgia,13,247,23.0
Schley County,Georgia,13,249,5.7
Screven County,Georgia,13,251,11.8
Seminole County,Georgia,13,253,9.5
Spalding County,Georgia,13,255,13.1
Stephens County,Georgia,13,257,14.5
Stewart County,Georgia,13,259,8.3
Sumter County,Georgia,13,261,17.3
Talbot County,Georgia,13,263,11.6
Taliaferro County,Georgia,13,265,8.2
Tattnall County,Georgia,13,267,9.5
Taylor County,Georgia,13,269,5.4
Telfair County,Georgia,13,271,5.6
Terrell County,Georgia,13,273,9.5
Thomas County,Georgia,13,275,18.9
Tift County,Georgia,13,277,16.1
Toombs County,Georgia,13,279,13.1
Towns County,Georgia,13,281,22.9
Treutlen County,Georgia,13,283,10.7
Troup County,Georgia,13,285,19.1
Turner County,Georgia,13,287,9.0
Twiggs County,Georgia,13,289,8.3
Union County,Georgia,13,291,20.9
Upson County,Georgia,13,293,9.4
Walker County,Georgia,13,295,12.3
Walton County,Georgia,13,297,16.9
Ware County,Georgia,13,299,11.0
Warren County,Georgia,13,301,6.4
Washington County,Georgia,13,303,9.5
Wayne County,Georgia,13,305,9.1
Webster County,Georgia,13,307,7.3
Wheeler County,Georgia,13,309,6.6
White County,Georgia,13,311,19.7
Whitfield County,Georgia,13,313,14.8
Wilcox County,Georgia,13,315,6.0
Wilkes County,Georgia,13,317,15.8
Wilkinson County,Georgia,13,319,9.4
Worth County,Georgia,13,321,10.0
Hawaii County,Hawaii,15,001,25.4
Honolulu County,Hawaii,15,003,30.9
Kauai County,Hawaii,15,007,22.2
Kalawao County,Hawaii,15,005,36.6
Maui County,Hawaii,15,009,24.7
Ada County,Idaho,16,001,37.5
Adams County,Idaho,16,003,22.6
Bannock County,Idaho,16,005,27.6
Bear Lake County,Idaho,16,007,18.1
Benewah County,Idaho,16,009,9.4
Bingham County,Idaho,16,011,16.5
Blaine County,Idaho,16,013,41.3
Boise County,Idaho,16,015,25.4
Bonner County,Idaho,16,017,21.7
Bonneville County,Idaho,16,019,30.2
Boundary County,Idaho,16,021,15.1
Butte County,Idaho,16,023,16.9
Camas County,Idaho,16,025,21.7
Canyon County,Idaho,16,027,17.8
Caribou County,Idaho,16,029,18.9
Cassia County,Idaho,16,031,17.2
Clearwater County,Idaho,16,035,12.3
Custer County,Idaho,16,037,24.9
Elmore County,Idaho,16,039,16.1
Franklin County,Idaho,16,041,21.8
Fremont County,Idaho,16,043,23.1
Gem County,Idaho,16,045,12.8
Gooding County,Idaho,16,047,11.3
Idaho County,Idaho,16,049,12.4
Jefferson County,Idaho,16,051,20.0
Jerome County,Idaho,16,053,10.9
Kootenai County,Idaho,16,055,25.1
Latah County,Idaho,16,057,43.5
Lemhi County,Idaho,16,059,23.4
Lewis County,Idaho,16,061,15.6
Lincoln County,Idaho,16,063,13.1
Madison County,Idaho,16,065,33.7
Minidoka County,Idaho,16,067,9.9
Nez Perce County,Idaho,16,069,17.3
Oneida County,Idaho,16,071,18.0
Owyhee County,Idaho,16,073,10.8
Payette County,Idaho,16,075,14.1
Power County,Idaho,16,077,15.4
Shoshone County,Idaho,16,079,11.9
Teton County,Idaho,16,081,32.2
Twin Falls County,Idaho,16,083,17.3
Valley County,Idaho,16,085,36.3
Washington County,Idaho,16,087,18.5
Adams County,Illinois,17,001,21.5
Alexander County,Illinois,17,003,8.7
Bond County,Illinois,17,005,25.5
Boone County,Illinois,17,007,21.0
Brown County,Illinois,17,009,7.1
Bureau County,Illinois,17,011,16.4
Calhoun County,Illinois,17,013,11.7
Carroll County,Illinois,17,015,14.6
Cass County,Illinois,17,017,10.9
Champaign County,Illinois,17,019,43.3
Christian County,Illinois,17,021,11.1
Clark County,Illinois,17,023,16.3
Clay County,Illinois,17,025,13.6
Clinton County,Illinois,17,027,16.4
Coles County,Illinois,17,029,24.3
Cook County,Illinois,17,031,33.5
Crawford County,Illinois,17,033,13.8
Cumberland County,Illinois,17,035,11.5
DeKalb County,Illinois,17,037,26.9
De Witt County,Illinois,17,039,14.2
Douglas County,Illinois,17,041,14.7
DuPage County,Illinois,17,043,47.9
Edgar County,Illinois,17,045,16.9
Edwards County,Illinois,17,047,11.0
Effingham County,Illinois,17,049,20.6
Fayette County,Illinois,17,051,14.7
Ford County,Illinois,17,053,16.7
Franklin County,Illinois,17,055,13.7
Fulton County,Illinois,17,057,11.1
Gallatin County,Illinois,17,059,12.0
Greene County,Illinois,17,061,13.0
Grundy County,Illinois,17,063,17.4
Hamilton County,Illinois,17,065,14.3
Hancock County,Illinois,17,067,16.8
Hardin County,Illinois,17,069,9.3
Henderson County,Illinois,17,071,15.7
Henry County,Illinois,17,073,21.0
Iroquois County,Illinois,17,075,12.8
Jackson County,Illinois,17,077,35.7
Jasper County,Illinois,17,079,12.3
Jefferson County,Illinois,17,081,14.6
Jersey County,Illinois,17,083,16.5
Jo Daviess County,Illinois,17,085,23.3
Johnson County,Illinois,17,087,10.3
Kane County,Illinois,17,089,32.8
Kankakee County,Illinois,17,091,16.8
Kendall County,Illinois,17,093,33.1
Knox County,Illinois,17,095,14.9
Lake County,Illinois,17,097,42.5
LaSalle County,Illinois,17,099,16.3
Lawrence County,Illinois,17,101,10.0
Lee County,Illinois,17,103,15.0
Livingston County,Illinois,17,105,12.1
Logan County,Illinois,17,107,16.1
McDonough County,Illinois,17,109,33.0
McHenry County,Illinois,17,111,33.3
McLean County,Illinois,17,113,42.6
Macon County,Illinois,17,115,22.2
Macoupin County,Illinois,17,117,14.4
Madison County,Illinois,17,119,24.1
Marion County,Illinois,17,121,13.8
Marshall County,Illinois,17,123,17.6
Mason County,Illinois,17,125,16.6
Massac County,Illinois,17,127,15.0
Menard County,Illinois,17,129,23.2
Mercer County,Illinois,17,131,15.2
Monroe County,Illinois,17,133,25.8
Montgomery County,Illinois,17,135,12.8
Morgan County,Illinois,17,137,18.9
Moultrie County,Illinois,17,139,14.0
Ogle County,Illinois,17,141,17.8
Peoria County,Illinois,17,143,30.4
Perry County,Illinois,17,145,12.8
Piatt County,Illinois,17,147,21.8
Pike County,Illinois,17,149,10.8
Pope County,Illinois,17,151,3.6
Pulaski County,Illinois,17,153,8.6
Putnam County,Illinois,17,155,14.4
Randolph County,Illinois,17,157,10.4
Richland County,Illinois,17,159,17.6
Rock Island County,Illinois,17,161,22.0
Saint Clair County,Illinois,17,163,25.4
Saline County,Illinois,17,165,15.7
Sangamon County,Illinois,17,167,32.6
Schuyler County,Illinois,17,169,18.4
Scott County,Illinois,17,171,19.5
Shelby County,Illinois,17,173,14.0
Stark County,Illinois,17,175,13.5
Stephenson County,Illinois,17,177,16.7
Tazewell County,Illinois,17,179,25.1
Union County,Illinois,17,181,16.3
Vermilion County,Illinois,17,183,14.1
Wabash County,Illinois,17,185,16.1
Warren County,Illinois,17,187,20.0
Washington County,Illinois,17,189,16.8
Wayne County,Illinois,17,191,12.6
White County,Illinois,17,193,12.8
Whiteside County,Illinois,17,195,16.3
Will County,Illinois,17,197,30.9
Williamson County,Illinois,17,199,22.6
Winnebago County,Illinois,17,201,22.3
Woodford County,Illinois,17,203,26.1
Adams County,Indiana,18,001,12.1
Allen County,Indiana,18,003,27.9
Bartholomew County,Indiana,18,005,29.9
Benton County,Indiana,18,007,12.9
Blackford County,Indiana,18,009,11.0
Boone County,Indiana,18,011,39.3
Brown County,Indiana,18,013,19.3
Carroll County,Indiana,18,015,14.9
Cass County,Indiana,18,017,13.2
Clark County,Indiana,18,019,18.1
Clay County,Indiana,18,021,13.6
Clinton County,Indiana,18,023,11.1
Crawford County,Indiana,18,025,10.0
Daviess County,Indiana,18,027,12.5
Dearborn County,Indiana,18,029,16.1
Decatur County,Indiana,18,031,15.6
DeKalb County,Indiana,18,033,15.9
Delaware County,Indiana,18,035,22.3
Dubois County,Indiana,18,037,18.9
Elkhart County,Indiana,18,039,18.8
Fayette County,Indiana,18,041,9.4
Floyd County,Indiana,18,043,21.8
Fountain County,Indiana,18,045,9.9
Franklin County,Indiana,18,047,15.6
Fulton County,Indiana,18,049,13.9
Gibson County,Indiana,18,051,13.6
Grant County,Indiana,18,053,15.2
Greene County,Indiana,18,055,11.4
Hamilton County,Indiana,18,057,58.2
Hancock County,Indiana,18,059,24.8
Harrison County,Indiana,18,061,14.0
Hendricks County,Indiana,18,063,31.7
Henry County,Indiana,18,065,12.7
Howard County,Indiana,18,067,21.5
Huntington County,Indiana,18,069,15.3
Jackson County,Indiana,18,071,14.4
Jasper County,Indiana,18,073,13.4
Jay County,Indiana,18,075,9.9
Jefferson County,Indiana,18,077,18.1
Jennings County,Indiana,18,079,6.6
