County,State,State_FIPS,County_FIPS,poverty_rate
Searcy County,Arkansas,05,129,21.1
Sebastian County,Arkansas,05,131,20.3
Sevier County,Arkansas,05,133,21.0
Sharp County,Arkansas,05,135,21.6
Stone County,Arkansas,05,137,22.5
Union County,Arkansas,05,139,20.1
Van Buren County,Arkansas,05,141,18.8
Washington County,Arkansas,05,143,16.8
White County,Arkansas,05,145,17.0
Woodruff County,Arkansas,05,147,25.0
Yell County,Arkansas,05,149,16.3
Alameda County,California,06,001,10.6
Alpine County,California,06,003,19.8
Amador County,California,06,005,9.7
Butte County,California,06,007,20.1
Calaveras County,California,06,009,11.7
Colusa County,California,06,011,13.8
Contra Costa County,California,06,013,9.1
Del Norte County,California,06,015,22.5
El Dorado County,California,06,017,8.9
Fresno County,California,06,019,24.1
Glenn County,California,06,021,18.8
Humboldt County,California,06,023,20.3
Imperial County,California,06,025,24.2
Inyo County,California,06,027,10.2
Kern County,California,06,029,22.0
Kings County,California,06,031,20.8
Lake County,California,06,033,21.0
Lassen County,California,06,035,13.8
Los Angeles County,California,06,037,16.0
Madera County,California,06,039,20.8
Marin County,California,06,041,7.6
Mariposa County,California,06,043,14.0
Mendocino County,California,06,045,18.5
Merced County,California,06,047,22.7
Modoc County,California,06,049,16.6
Mono County,California,06,051,10.4
Monterey County,California,06,053,14.1
Napa County,California,06,055,8.1
Nevada County,California,06,057,11.4
Orange County,California,06,059,11.5
Placer County,California,06,061,8.0
Plumas County,California,06,063,11.7
Riverside County,California,06,065,14.7
Sacramento County,California,06,067,15.8
San Benito County,California,06,069,9.2
San Bernardino County,California,06,071,17.3
San Diego County,California,06,073,12.5
San Francisco County,California,06,075,10.9
San Joaquin County,California,06,077,15.9
San Luis Obispo County,California,06,079,13.3
San Mateo County,California,06,081,7.0
Santa Barbara County,California,06,083,14.8
Santa Clara County,California,06,085,7.9
Santa Cruz County,California,06,087,14.3
Shasta County,California,06,089,17.1
Sierra County,California,06,091,8.3
