County,State,State_FIPS,County_FIPS,high_school_and_above_percentage
Los Angeles County,California,06,037,30.8
Madera County,California,06,039,13.1
Marin County,California,06,041,57.1
Mariposa County,California,06,043,22.6
Mendocino County,California,06,045,24.1
Merced County,California,06,047,13.7
Modoc County,California,06,049,18.3
Mono County,California,06,051,30.6
Monterey County,California,06,053,23.6
Napa County,California,06,055,33.0
Nevada County,California,06,057,34.4
Orange County,California,06,059,38.4
Placer County,California,06,061,36.9
Plumas County,California,06,063,21.9
Riverside County,California,06,065,21.2
Sacramento County,California,06,067,29.3
San Benito County,California,06,069,19.0
San Bernardino County,California,06,071,19.3
San Diego County,California,06,073,36.5
San Francisco County,California,06,075,54.8
San Joaquin County,California,06,077,18.2
San Luis Obispo County,California,06,079,34.1
San Mateo County,California,06,081,47.1
Santa Barbara County,California,06,083,32.2
Santa Clara County,California,06,085,49.1
Santa Cruz County,California,06,087,39.0
Shasta County,California,06,089,20.1
Sierra County,California,06,091,19.8
Siskiyou County,California,06,093,22.2
Solano County,California,06,095,25.1
Sonoma County,California,06,097,33.1
Stanislaus County,California,06,099,16.5
Sutter County,California,06,101,17.9
Tehama County,California,06,103,13.8
Trinity County,California,06,105,20.1
Tulare County,California,06,107,14.0
Tuolumne County,California,06,109,19.7
Ventura County,California,06,111,32.2
Yolo County,California,06,113,40.0
Yuba County,California,06,115,15.5
Alamosa County,Colorado,08,003,25.8
Archuleta County,Colorado,08,007,34.9
Baca County,Colorado,08,009,21.8
Bent County,Colorado,08,011,9.5
Chaffee County,Colorado,08,015,34.4
Cheyenne County,Colorado,08,017,23.3
Clear Creek County,Colorado,08,019,44.6
Conejos County,Colorado,08,021,18.3
Costilla County,Colorado,08,023,20.0
Crowley County,Colorado,08,025,10.2
Custer County,Colorado,08,027,29.4
Delta County,Colorado,08,029,19.6
Dolores County,Colorado,08,033,20.3
Douglas County,Colorado,08,035,57.5
Eagle County,Colorado,08,037,45.0
Elbert County,Colorado,08,039,32.8
El Paso County,Colorado,08,041,36.6
Fremont County,Colorado,08,043,16.4
Garfield County,Colorado,08,045,29.1
Gilpin County,Colorado,08,047,34.4
Grand County,Colorado,08,049,37.2
Gunnison County,Colorado,08,051,52.6
Huerfano County,Colorado,08,055,26.0
Jackson County,Colorado,08,057,19.1
Kiowa County,Colorado,08,061,20.2
Kit Carson County,Colorado,08,063,13.8
Lake County,Colorado,08,065,30.9
La Plata County,Colorado,08,067,43.0
Larimer County,Colorado,08,069,45.3
Las Animas County,Colorado,08,071,18.9
Lincoln County,Colorado,08,073,13.7
Logan County,Colorado,08,075,16.7
Mesa County,Colorado,08,077,26.1
Moffat County,Colorado,08,081,18.9
Montezuma County,Colorado,08,083,27.0
Montrose County,Colorado,08,085,23.8
Morgan County,Colorado,08,087,16.1
Otero County,Colorado,08,089,17.1
Ouray County,Colorado,08,091,54.5
Park County,Colorado,08,093,30.5
Phillips County,Colorado,08,095,20.4
Pitkin County,Colorado,08,097,60.4
Prowers County,Colorado,08,099,15.4
Pueblo County,Colorado,08,101,21.2
Rio Blanco County,Colorado,08,103,21.8
Rio Grande County,Colorado,08,105,22.6
Routt County,Colorado,08,107,49.4
Saguache County,Colorado,08,109,25.5
San Miguel County,Colorado,08,113,55.1
Sedgwick County,Colorado,08,115,19.8
Summit County,Colorado,08,117,49.9
Teller County,Colorado,08,119,32.6
Washington County,Colorado,08,121,16.0
Yuma County,Colorado,08,125,21.4
Adams County,Colorado,08,001,22.4
Arapahoe County,Colorado,08,005,40.7
Boulder County,Colorado,08,013,59.3
Broomfield County,Colorado,08,014,52.5
Denver County,Colorado,08,031,45.7
Jefferson County,Colorado,08,059,42.2
Weld County,Colorado,08,123,26.8
Fairfield County,Connecticut,09,001,46.4
Hartford County,Connecticut,09,003,36.9
Litchfield County,Connecticut,09,005,34.0
Middlesex County,Connecticut,09,007,40.9
New Haven County,Connecticut,09,009,34.3
New London County,Connecticut,09,011,32.4
Tolland County,Connecticut,09,013,38.9
Windham County,Connecticut,09,015,23.9
Kent County,Delaware,10,001,23.1
New Castle County,Delaware,10,003,35.4
Sussex County,Delaware,10,005,23.9
Alachua County,Florida,12,001,41.5
Baker County,Florida,12,003,12.8
Bay County,Florida,12,005,22.5
Bradford County,Florida,12,007,11.8
Brevard County,Florida,12,009,27.7
Broward County,Florida,12,011,31.0
Calhoun County,Florida,12,013,10.5
Charlotte County,Florida,12,015,21.6
Citrus County,Florida,12,017,17.8
Clay County,Florida,12,019,23.9
Collier County,Florida,12,021,33.9
Columbia County,Florida,12,023,15.9
