County,State,State_FIPS,County_FIPS,health_insurance_rate
Ashley County,Arkansas,05,003,88.9
Baxter County,Arkansas,05,005,92.4
Benton County,Arkansas,05,007,89.7
Boone County,Arkansas,05,009,91.1
Bradley County,Arkansas,05,011,86.6
Calhoun County,Arkansas,05,013,89.7
Carroll County,Arkansas,05,015,86.8
Chicot County,Arkansas,05,017,88.5
Clark County,Arkansas,05,019,90.9
Clay County,Arkansas,05,021,90.6
Cleburne County,Arkansas,05,023,88.6
Cleveland County,Arkansas,05,025,92.5
Columbia County,Arkansas,05,027,90.2
Conway County,Arkansas,05,029,91.1
Craighead County,Arkansas,05,031,89.2
Crawford County,Arkansas,05,033,89.2
Crittenden County,Arkansas,05,035,89.8
Cross County,Arkansas,05,037,91.6
Dallas County,Arkansas,05,039,89.3
Desha County,Arkansas,05,041,89.9
Drew County,Arkansas,05,043,91.4
Faulkner County,Arkansas,05,045,89.2
Franklin County,Arkansas,05,047,91.8
Fulton County,Arkansas,05,049,89.9
Garland County,Arkansas,05,051,86.9
Grant County,Arkansas,05,053,93.1
Greene County,Arkansas,05,055,91.0
Hempstead County,Arkansas,05,057,89.7
Hot Spring County,Arkansas,05,059,89.0
Howard County,Arkansas,05,061,88.2
Independence County,Arkansas,05,063,88.6
Izard County,Arkansas,05,065,91.8
Jackson County,Arkansas,05,067,88.2
Jefferson County,Arkansas,05,069,91.0
Johnson County,Arkansas,05,071,89.0
Lafayette County,Arkansas,05,073,87.9
Lawrence County,Arkansas,05,075,90.3
Lee County,Arkansas,05,077,88.7
Lincoln County,Arkansas,05,079,90.5
Little River County,Arkansas,05,081,88.9
Logan County,Arkansas,05,083,91.3
Lonoke County,Arkansas,05,085,91.1
Madison County,Arkansas,05,087,87.4
Marion County,Arkansas,05,089,91.5
Miller County,Arkansas,05,091,87.0
Mississippi County,Arkansas,05,093,89.3
Monroe County,Arkansas,05,095,89.0
Montgomery County,Arkansas,05,097,87.5
Nevada County,Arkansas,05,099,88.6
Newton County,Arkansas,05,101,91.0
Ouachita County,Arkansas,05,103,90.4
Perry County,Arkansas,05,105,91.8
Phillips County,Arkansas,05,107,86.9
Pike County,Arkansas,05,109,88.0
Poinsett County,Arkansas,05,111,86.8
Polk County,Arkansas,05,113,85.9
Pope County,Arkansas,05,115,89.4
Prairie County,Arkansas,05,117,89.6
Pulaski County,Arkansas,05,119,89.9
Randolph County,Arkansas,05,121,90.0
Saint Francis County,Arkansas,05,123,87.8
Saline County,Arkansas,05,125,92.4
Scott County,Arkansas,05,127,91.5
Searcy County,Arkansas,05,129,88.4
Sebastian County,Arkansas,05,131,87.5
Sevier County,Arkansas,05,133,83.1
Sharp County,Arkansas,05,135,89.5
Stone County,Arkansas,05,137,90.0
Union County,Arkansas,05,139,87.9
Van Buren County,Arkansas,05,141,87.1
Washington County,Arkansas,05,143,87.4
White County,Arkansas,05,145,89.8
Woodruff County,Arkansas,05,147,88.9
Yell County,Arkansas,05,149,89.4
Alameda County,California,06,001,93.1
Alpine County,California,06,003,87.9
Amador County,California,06,005,94.4
Butte County,California,06,007,91.6
Calaveras County,California,06,009,93.4
Colusa County,California,06,011,86.4
Contra Costa County,California,06,013,92.8
Del Norte County,California,06,015,91.9
El Dorado County,California,06,017,94.0
Fresno County,California,06,019,88.3
Glenn County,California,06,021,88.2
Humboldt County,California,06,023,87.7
Imperial County,California,06,025,88.2
Inyo County,California,06,027,92.3
Kern County,California,06,029,88.8
Kings County,California,06,031,89.7
Lake County,California,06,033,88.2
Lassen County,California,06,035,93.0
Los Angeles County,California,06,037,86.7
Madera County,California,06,039,88.3
Marin County,California,06,041,94.8
Mariposa County,California,06,043,95.1
Mendocino County,California,06,045,88.8
Merced County,California,06,047,88.9
Modoc County,California,06,049,84.0
Mono County,California,06,051,83.2
Monterey County,California,06,053,86.3
Napa County,California,06,055,92.6
Nevada County,California,06,057,90.3
Orange County,California,06,059,89.6
Placer County,California,06,061,93.9
Plumas County,California,06,063,93.4
Riverside County,California,06,065,87.7
Sacramento County,California,06,067,91.6
San Benito County,California,06,069,90.4
San Bernardino County,California,06,071,88.4
San Diego County,California,06,073,89.6
San Francisco County,California,06,075,94.5
San Joaquin County,California,06,077,90.3
San Luis Obispo County,California,06,079,91.4
San Mateo County,California,06,081,94.2
