County,State,State_FIPS,County_FIPS,disability_rate
Montrose County,Colorado,08,085,13.9
Morgan County,Colorado,08,087,10.7
Otero County,Colorado,08,089,18.4
Ouray County,Colorado,08,091,8.4
Park County,Colorado,08,093,8.9
Phillips County,Colorado,08,095,13.8
Pitkin County,Colorado,08,097,6.4
Prowers County,Colorado,08,099,15.9
Pueblo County,Colorado,08,101,16.2
Rio Blanco County,Colorado,08,103,12.4
Rio Grande County,Colorado,08,105,17.8
Routt County,Colorado,08,107,7.3
Saguache County,Colorado,08,109,16.2
San Miguel County,Colorado,08,113,6.9
Sedgwick County,Colorado,08,115,14.5
Summit County,Colorado,08,117,3.7
Teller County,Colorado,08,119,14.2
Washington County,Colorado,08,121,12.6
Yuma County,Colorado,08,125,7.4
Adams County,Colorado,08,001,9.5
Arapahoe County,Colorado,08,005,8.8
Boulder County,Colorado,08,013,7.1
Broomfield County,Colorado,08,014,8.1
Denver County,Colorado,08,031,9.7
Jefferson County,Colorado,08,059,9.4
Weld County,Colorado,08,123,10.2
Fairfield County,Connecticut,09,001,8.8
Hartford County,Connecticut,09,003,11.4
Litchfield County,Connecticut,09,005,9.9
Middlesex County,Connecticut,09,007,9.3
New Haven County,Connecticut,09,009,11.4
New London County,Connecticut,09,011,12.2
Tolland County,Connecticut,09,013,8.4
Windham County,Connecticut,09,015,13.1
Kent County,Delaware,10,001,13.3
New Castle County,Delaware,10,003,11.2
Sussex County,Delaware,10,005,14.8
Alachua County,Florida,12,001,10.3
Baker County,Florida,12,003,14.2
Bay County,Florida,12,005,15.3
Bradford County,Florida,12,007,18.4
Brevard County,Florida,12,009,14.8
Broward County,Florida,12,011,10.9
Calhoun County,Florida,12,013,23.6
Charlotte County,Florida,12,015,18.7
Citrus County,Florida,12,017,19.3
Clay County,Florida,12,019,12.8
Collier County,Florida,12,021,11.5
Columbia County,Florida,12,023,20.3
Miami-Dade County,Florida,12,086,10.4
DeSoto County,Florida,12,027,15.4
Dixie County,Florida,12,029,22.9
Duval County,Florida,12,031,12.1
Escambia County,Florida,12,033,15.2
Flagler County,Florida,12,035,14.7
Franklin County,Florida,12,037,23.0
Gadsden County,Florida,12,039,14.5
Gilchrist County,Florida,12,041,21.9
Glades County,Florida,12,043,17.0
Gulf County,Florida,12,045,20.3
Hamilton County,Florida,12,047,22.0
Hardee County,Florida,12,049,12.3
Hendry County,Florida,12,051,14.8
Hernando County,Florida,12,053,18.7
Highlands County,Florida,12,055,20.7
Hillsborough County,Florida,12,057,11.8
Holmes County,Florida,12,059,24.7
Indian River County,Florida,12,061,14.7
Jackson County,Florida,12,063,20.9
Jefferson County,Florida,12,065,19.9
Lafayette County,Florida,12,067,13.9
Lake County,Florida,12,069,14.7
Lee County,Florida,12,071,12.9
Leon County,Florida,12,073,9.2
Levy County,Florida,12,075,21.7
Liberty County,Florida,12,077,20.3
Madison County,Florida,12,079,21.4
Manatee County,Florida,12,081,12.9
Marion County,Florida,12,083,16.5
Martin County,Florida,12,085,14.5
Monroe County,Florida,12,087,13.3
Nassau County,Florida,12,089,14.8
Okaloosa County,Florida,12,091,13.9
Okeechobee County,Florida,12,093,17.0
Orange County,Florida,12,095,9.7
Osceola County,Florida,12,097,12.7
Palm Beach County,Florida,12,099,11.5
Pasco County,Florida,12,101,15.3
Pinellas County,Florida,12,103,14.3
Polk County,Florida,12,105,14.6
Putnam County,Florida,12,107,16.7
Saint Johns County,Florida,12,109,10.4
Saint Lucie County,Florida,12,111,14.7
Santa Rosa County,Florida,12,113,13.5
Sarasota County,Florida,12,115,14.8
Seminole County,Florida,12,117,10.0
Sumter County,Florida,12,119,18.4
Suwannee County,Florida,12,121,19.6
Taylor County,Florida,12,123,22.5
Union County,Florida,12,125,13.1
Volusia County,Florida,12,127,14.8
Wakulla County,Florida,12,129,16.2
Walton County,Florida,12,131,16.6
Washington County,Florida,12,133,20.1
Appling County,Georgia,13,001,14.5
Atkinson County,Georgia,13,003,17.5
Bacon County,Georgia,13,005,19.1
Baker County,Georgia,13,007,21.4
Baldwin County,Georgia,13,009,12.4
Banks County,Georgia,13,011,14.8
Barrow County,Georgia,13,013,12.4
Bartow County,Georgia,13,015,12.2
Ben Hill County,Georgia,13,017,25.0
Berrien County,Georgia,13,019,19.9
